Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,bias,k,tpr,tnr,ba
CCT,kNN,val_optimal,True,True,OoD Val,OoD Val,Unbiased,-1,0.9868421052631579,0.1385503527902502,0.562696229026704
CCT,kNN,val_optimal,True,True,OoD Val,OoD Val,Class,-1,0.9661716171617162,0.5531062124248497,0.7596389147932829
CCT,kNN,val_optimal,True,True,OoD Val,OoD Val,Synthetic,-1,1.0,0.31823821339950376,0.6591191066997519
CCT,kNN,val_optimal,True,True,OoD Val,OoD Val,Temporal,-1,1.0,0.14472822527832352,0.5723641126391618
CCT,kNN,val_optimal,True,True,OoD Val,OoD Test,Unbiased,-1,0.9947368421052631,0.14464168310322156,0.5696892626042424
CCT,kNN,val_optimal,True,True,OoD Val,OoD Test,Class,-1,0.9611336032388664,0.5483193277310925,0.7547264654849795
CCT,kNN,val_optimal,True,True,OoD Val,OoD Test,Synthetic,-1,1.0,0.30505302557704306,0.6525265127885216
CCT,kNN,val_optimal,True,True,OoD Val,OoD Test,Temporal,-1,1.0,0.14755197853789404,0.573775989268947
CCT,kNN,val_optimal,True,True,OoD Test,OoD Val,Unbiased,-1,0.993421052631579,0.13470173187940992,0.5640613922554945
CCT,kNN,val_optimal,True,True,OoD Test,OoD Val,Class,-1,0.9942244224422442,0.46092184368737477,0.7275731330648094
CCT,kNN,val_optimal,True,True,OoD Test,OoD Val,Synthetic,-1,1.0,0.25,0.625
CCT,kNN,val_optimal,True,True,OoD Test,OoD Val,Temporal,-1,1.0,0.13686967910936476,0.5684348395546823
CCT,kNN,val_optimal,True,True,OoD Test,OoD Test,Unbiased,-1,1.0,0.1393819855358317,0.5696909927679159
CCT,kNN,val_optimal,True,True,OoD Test,OoD Test,Class,-1,0.9959514170040485,0.45378151260504207,0.7248664648045453
CCT,kNN,val_optimal,True,True,OoD Test,OoD Test,Synthetic,-1,1.0,0.24266999376169684,0.6213349968808484
CCT,kNN,val_optimal,True,True,OoD Test,OoD Test,Temporal,-1,1.0,0.14017437961099932,0.5700871898054997
CCT,kNN,ind_span,True,True,OoD Val,OoD Val,Unbiased,-1,0.9671052631578947,0.16100064143681847,0.5640529522973565
CCT,kNN,ind_span,True,True,OoD Val,OoD Val,Class,-1,0.8935643564356436,0.597194388777555,0.7453793726065994
CCT,kNN,ind_span,True,True,OoD Val,OoD Val,Synthetic,-1,1.0,0.3653846153846154,0.6826923076923077
CCT,kNN,ind_span,True,True,OoD Val,OoD Val,Temporal,-1,1.0,0.16437459070072036,0.5821872953503602
CCT,kNN,ind_span,True,True,OoD Val,OoD Test,Unbiased,-1,0.9736842105263158,0.1597633136094675,0.5667237620678917
CCT,kNN,ind_span,True,True,OoD Val,OoD Test,Class,-1,0.902834008097166,0.5945378151260504,0.7486859116116082
CCT,kNN,ind_span,True,True,OoD Val,OoD Test,Synthetic,-1,1.0,0.35246412975670616,0.6762320648783531
CCT,kNN,ind_span,True,True,OoD Val,OoD Test,Temporal,-1,1.0,0.16297786720321927,0.5814889336016096
CCT,kNN,ind_span,True,True,OoD Test,OoD Val,Unbiased,-1,0.9671052631578947,0.16100064143681847,0.5640529522973565
CCT,kNN,ind_span,True,True,OoD Test,OoD Val,Class,-1,0.8935643564356436,0.597194388777555,0.7453793726065994
CCT,kNN,ind_span,True,True,OoD Test,OoD Val,Synthetic,-1,1.0,0.3653846153846154,0.6826923076923077
CCT,kNN,ind_span,True,True,OoD Test,OoD Val,Temporal,-1,1.0,0.16437459070072036,0.5821872953503602
CCT,kNN,ind_span,True,True,OoD Test,OoD Test,Unbiased,-1,0.9736842105263158,0.1597633136094675,0.5667237620678917
CCT,kNN,ind_span,True,True,OoD Test,OoD Test,Class,-1,0.902834008097166,0.5945378151260504,0.7486859116116082
CCT,kNN,ind_span,True,True,OoD Test,OoD Test,Synthetic,-1,1.0,0.35246412975670616,0.6762320648783531
CCT,kNN,ind_span,True,True,OoD Test,OoD Test,Temporal,-1,1.0,0.16297786720321927,0.5814889336016096
CCT,kNN,logistic,True,True,OoD Val,OoD Val,Unbiased,-1,1.0,0.12957023733162287,0.5647851186658115
CCT,kNN,logistic,True,True,OoD Val,OoD Val,Class,-1,1.0,0.3987975951903807,0.6993987975951903
CCT,kNN,logistic,True,True,OoD Val,OoD Val,Synthetic,-1,1.0,0.18176178660049624,0.5908808933002481
CCT,kNN,logistic,True,True,OoD Val,OoD Val,Temporal,-1,1.0,0.13228552717747222,0.5661427635887362
CCT,kNN,logistic,True,True,OoD Val,OoD Test,Unbiased,-1,1.0,0.1328073635765944,0.5664036817882971
CCT,kNN,logistic,True,True,OoD Val,OoD Test,Class,-1,1.0,0.41386554621848737,0.7069327731092436
CCT,kNN,logistic,True,True,OoD Val,OoD Test,Synthetic,-1,1.0,0.18465377417342488,0.5923268870867124
CCT,kNN,logistic,True,True,OoD Val,OoD Test,Temporal,-1,1.0,0.1354795439302482,0.567739771965124
CCT,kNN,logistic,True,True,OoD Test,OoD Val,Unbiased,-1,1.0,0.12957023733162287,0.5647851186658115
CCT,kNN,logistic,True,True,OoD Test,OoD Val,Class,-1,1.0,0.3987975951903807,0.6993987975951903
CCT,kNN,logistic,True,True,OoD Test,OoD Val,Synthetic,-1,1.0,0.18176178660049624,0.5908808933002481
CCT,kNN,logistic,True,True,OoD Test,OoD Val,Temporal,-1,1.0,0.13228552717747222,0.5661427635887362
CCT,kNN,logistic,True,True,OoD Test,OoD Test,Unbiased,-1,1.0,0.1328073635765944,0.5664036817882971
CCT,kNN,logistic,True,True,OoD Test,OoD Test,Class,-1,1.0,0.41386554621848737,0.7069327731092436
CCT,kNN,logistic,True,True,OoD Test,OoD Test,Synthetic,-1,1.0,0.18590143480973176,0.5929507174048658
CCT,kNN,logistic,True,True,OoD Test,OoD Test,Temporal,-1,1.0,0.1354795439302482,0.567739771965124
CCT,kNN,val_optimal,True,False,OoD Val,OoD Val,Unbiased,-1,0.9933466400532269,1.0,0.9966733200266135
CCT,kNN,val_optimal,True,False,OoD Val,OoD Val,Class,-1,0.9661716171617162,0.5531062124248497,0.7596389147932829
CCT,kNN,val_optimal,True,False,OoD Val,OoD Val,Synthetic,-1,1.0,0.31823821339950376,0.6591191066997519
CCT,kNN,val_optimal,True,False,OoD Val,OoD Val,Temporal,-1,1.0,0.14472822527832352,0.5723641126391618
CCT,kNN,val_optimal,True,False,OoD Val,OoD Test,Unbiased,-1,0.9947368421052631,0.14464168310322156,0.5696892626042424
CCT,kNN,val_optimal,True,False,OoD Val,OoD Test,Class,-1,0.9611336032388664,0.5483193277310925,0.7547264654849795
CCT,kNN,val_optimal,True,False,OoD Val,OoD Test,Synthetic,-1,1.0,0.30505302557704306,0.6525265127885216
CCT,kNN,val_optimal,True,False,OoD Val,OoD Test,Temporal,-1,1.0,0.14755197853789404,0.573775989268947
CCT,kNN,val_optimal,True,False,OoD Test,OoD Val,Unbiased,-1,0.998003992015968,1.0,0.999001996007984
CCT,kNN,val_optimal,True,False,OoD Test,OoD Val,Class,-1,0.9942244224422442,0.46092184368737477,0.7275731330648094
CCT,kNN,val_optimal,True,False,OoD Test,OoD Val,Synthetic,-1,1.0,0.25,0.625
CCT,kNN,val_optimal,True,False,OoD Test,OoD Val,Temporal,-1,1.0,0.13686967910936476,0.5684348395546823
CCT,kNN,val_optimal,True,False,OoD Test,OoD Test,Unbiased,-1,1.0,0.1393819855358317,0.5696909927679159
CCT,kNN,val_optimal,True,False,OoD Test,OoD Test,Class,-1,0.9959514170040485,0.45378151260504207,0.7248664648045453
CCT,kNN,val_optimal,True,False,OoD Test,OoD Test,Synthetic,-1,1.0,0.24266999376169684,0.6213349968808484
CCT,kNN,val_optimal,True,False,OoD Test,OoD Test,Temporal,-1,1.0,0.14017437961099932,0.5700871898054997
CCT,kNN,ind_span,True,False,OoD Val,OoD Val,Unbiased,-1,0.9680638722554891,1.0,0.9840319361277445
CCT,kNN,ind_span,True,False,OoD Val,OoD Val,Class,-1,0.8935643564356436,0.597194388777555,0.7453793726065994
CCT,kNN,ind_span,True,False,OoD Val,OoD Val,Synthetic,-1,1.0,0.3653846153846154,0.6826923076923077
CCT,kNN,ind_span,True,False,OoD Val,OoD Val,Temporal,-1,1.0,0.16437459070072036,0.5821872953503602
CCT,kNN,ind_span,True,False,OoD Val,OoD Test,Unbiased,-1,0.9736842105263158,0.1597633136094675,0.5667237620678917
CCT,kNN,ind_span,True,False,OoD Val,OoD Test,Class,-1,0.902834008097166,0.5945378151260504,0.7486859116116082
CCT,kNN,ind_span,True,False,OoD Val,OoD Test,Synthetic,-1,1.0,0.35246412975670616,0.6762320648783531
CCT,kNN,ind_span,True,False,OoD Val,OoD Test,Temporal,-1,1.0,0.16297786720321927,0.5814889336016096
CCT,kNN,ind_span,True,False,OoD Test,OoD Val,Unbiased,-1,0.9680638722554891,1.0,0.9840319361277445
CCT,kNN,ind_span,True,False,OoD Test,OoD Val,Class,-1,0.8935643564356436,0.597194388777555,0.7453793726065994
CCT,kNN,ind_span,True,False,OoD Test,OoD Val,Synthetic,-1,1.0,0.3653846153846154,0.6826923076923077
CCT,kNN,ind_span,True,False,OoD Test,OoD Val,Temporal,-1,1.0,0.16437459070072036,0.5821872953503602
CCT,kNN,ind_span,True,False,OoD Test,OoD Test,Unbiased,-1,0.9736842105263158,0.1597633136094675,0.5667237620678917
CCT,kNN,ind_span,True,False,OoD Test,OoD Test,Class,-1,0.902834008097166,0.5945378151260504,0.7486859116116082
CCT,kNN,ind_span,True,False,OoD Test,OoD Test,Synthetic,-1,1.0,0.35246412975670616,0.6762320648783531
CCT,kNN,ind_span,True,False,OoD Test,OoD Test,Temporal,-1,1.0,0.16297786720321927,0.5814889336016096
CCT,kNN,logistic,True,False,OoD Val,OoD Val,Unbiased,-1,1.0,0.9711538461538461,0.9855769230769231
CCT,kNN,logistic,True,False,OoD Val,OoD Val,Class,-1,1.0,0.3987975951903807,0.6993987975951903
CCT,kNN,logistic,True,False,OoD Val,OoD Val,Synthetic,-1,1.0,0.18176178660049624,0.5908808933002481
CCT,kNN,logistic,True,False,OoD Val,OoD Val,Temporal,-1,1.0,0.13228552717747222,0.5661427635887362
CCT,kNN,logistic,True,False,OoD Val,OoD Test,Unbiased,-1,1.0,0.1328073635765944,0.5664036817882971
CCT,kNN,logistic,True,False,OoD Val,OoD Test,Class,-1,1.0,0.41386554621848737,0.7069327731092436
CCT,kNN,logistic,True,False,OoD Val,OoD Test,Synthetic,-1,1.0,0.18465377417342488,0.5923268870867124
CCT,kNN,logistic,True,False,OoD Val,OoD Test,Temporal,-1,1.0,0.1354795439302482,0.567739771965124
CCT,kNN,logistic,True,False,OoD Test,OoD Val,Unbiased,-1,1.0,0.9711538461538461,0.9855769230769231
CCT,kNN,logistic,True,False,OoD Test,OoD Val,Class,-1,1.0,0.3987975951903807,0.6993987975951903
CCT,kNN,logistic,True,False,OoD Test,OoD Val,Synthetic,-1,1.0,0.18176178660049624,0.5908808933002481
CCT,kNN,logistic,True,False,OoD Test,OoD Val,Temporal,-1,1.0,0.13228552717747222,0.5661427635887362
CCT,kNN,logistic,True,False,OoD Test,OoD Test,Unbiased,-1,1.0,0.1328073635765944,0.5664036817882971
CCT,kNN,logistic,True,False,OoD Test,OoD Test,Class,-1,1.0,0.41386554621848737,0.7069327731092436
CCT,kNN,logistic,True,False,OoD Test,OoD Test,Synthetic,-1,1.0,0.18590143480973176,0.5929507174048658
CCT,kNN,logistic,True,False,OoD Test,OoD Test,Temporal,-1,1.0,0.1354795439302482,0.567739771965124
CCT,kNN,val_optimal,False,False,OoD Val,OoD Val,Unbiased,-1,0.9933466400532269,1.0,0.9966733200266135
CCT,kNN,val_optimal,False,False,OoD Val,OoD Val,Class,-1,0.9214903526280772,0.9567307692307693,0.9391105609294232
CCT,kNN,val_optimal,False,False,OoD Val,OoD Val,Synthetic,-1,0.791084497671324,0.9567307692307693,0.8739076334510467
CCT,kNN,val_optimal,False,False,OoD Val,OoD Val,Temporal,-1,0.9913506320691949,1.0,0.9956753160345975
CCT,kNN,val_optimal,False,False,OoD Val,OoD Test,Unbiased,-1,0.9913506320691949,1.0,0.9956753160345975
CCT,kNN,val_optimal,False,False,OoD Val,OoD Test,Class,-1,0.9268130405854956,0.9567307692307693,0.9417719049081325
CCT,kNN,val_optimal,False,False,OoD Val,OoD Test,Synthetic,-1,0.8070525615435795,0.9567307692307693,0.8818916653871745
CCT,kNN,val_optimal,False,False,OoD Val,OoD Test,Temporal,-1,0.9920159680638723,1.0,0.9960079840319361
CCT,kNN,val_optimal,False,False,OoD Test,OoD Val,Unbiased,-1,0.998003992015968,1.0,0.999001996007984
CCT,kNN,val_optimal,False,False,OoD Test,OoD Val,Class,-1,0.9740518962075848,0.9519230769230769,0.9629874865653308
CCT,kNN,val_optimal,False,False,OoD Test,OoD Val,Synthetic,-1,0.8616101131071191,0.9375,0.8995550565535595
CCT,kNN,val_optimal,False,False,OoD Test,OoD Val,Temporal,-1,0.9986693280106453,0.9951923076923077,0.9969308178514765
CCT,kNN,val_optimal,False,False,OoD Test,OoD Test,Unbiased,-1,0.9973386560212908,1.0,0.9986693280106453
CCT,kNN,val_optimal,False,False,OoD Test,OoD Test,Class,-1,0.9846972721224219,0.9519230769230769,0.9683101745227494
CCT,kNN,val_optimal,False,False,OoD Test,OoD Test,Synthetic,-1,0.8709248170326015,0.9375,0.9042124085163008
CCT,kNN,val_optimal,False,False,OoD Test,OoD Test,Temporal,-1,0.9986693280106453,0.9951923076923077,0.9969308178514765
CCT,kNN,ind_span,False,False,OoD Val,OoD Val,Unbiased,-1,0.9680638722554891,1.0,0.9840319361277445
CCT,kNN,ind_span,False,False,OoD Val,OoD Val,Class,-1,0.8476380572188955,0.9519230769230769,0.8997805670709862
CCT,kNN,ind_span,False,False,OoD Val,OoD Val,Synthetic,-1,0.739853626081171,0.9519230769230769,0.8458883515021239
