,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,tpr,tnr,ba,rate,test_set,val_set,Dataset
0,Base Tree,350.5,5113.981481481482,4527.228070175439,0.2657407407407407,0.3619298245614035,0.5131829573934837,0.0,0.5,0.4189814814814815,0.1125,0.1125,0.5,0.09618908382066278,0.5,0.5,0.5,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,3140.956370099889,3130.3728571428574,0.25771088559432376,0.3619298245614035,0.5131829573934837,0.0,0.5,0.4189814814814815,0.1125,0.1125,0.5,0.10421893896707975,0.5,0.5,0.5,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,5102.894257420815,4449.411027568923,0.267558318455604,0.37468671679197996,0.44819548872180454,0.0,0.4940695349484824,0.4189814814814815,0.1125,0.1125,0.4940695349484824,0.10712839833637594,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,3144.7287598749645,3110.5220802005015,0.26296926239544083,0.37468671679197996,0.44819548872180454,0.0,0.4940695349484824,0.4189814814814815,0.1125,0.1125,0.4940695349484824,0.11171745439653913,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,5078.094596125086,4127.5939849624065,0.2716238367008055,0.4274436090225564,0.4082205513784461,0.0,0.4808043998886104,0.4189814814814815,0.1125,0.1125,0.4808043998886104,0.1558197723217509,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,3098.242383066113,3008.074461152882,0.27596256475702013,0.4274436090225564,0.4082205513784461,0.0,0.4808043998886104,0.4189814814814815,0.1125,0.1125,0.4808043998886104,0.15148104426553624,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,5018.851565302144,4552.453634085213,0.28133580896686156,0.35779448621553883,0.33669172932330826,0.0,0.44911578947368425,0.4189814814814815,0.1125,0.1125,0.44911578947368425,0.07645867724867728,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,3051.3580332562674,3531.1449373433584,0.27760287864363753,0.35779448621553883,0.33669172932330826,0.0,0.44911578947368425,0.4189814814814815,0.1125,0.1125,0.44911578947368425,0.08019160757190134,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,4941.131927534887,4572.634085213032,0.2940767331910022,0.3544862155388471,0.2832080200501253,0.0,0.407544193817878,0.4189814814814815,0.1125,0.1125,0.407544193817878,0.06170961354002289,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,3046.3097441249574,3725.2268170426064,0.281352123865892,0.3544862155388471,0.2832080200501253,0.0,0.407544193817878,0.4189814814814815,0.1125,0.1125,0.407544193817878,0.07338299517085828,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,4858.418215420238,4521.571428571428,0.30763635812782986,0.3628571428571429,0.2543358395989975,0.0,0.3633013088276247,0.4189814814814815,0.1125,0.1125,0.3633013088276247,0.05993992388378355,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,3034.5668286520277,3726.5669423558898,0.3227558416255692,0.3628571428571429,0.2543358395989975,0.0,0.3633013088276247,0.4189814814814815,0.1125,0.1125,0.3633013088276247,0.049274008383712896,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,4712.2250005569485,4542.669172932331,0.33160245892509044,0.3593984962406015,0.17338345864661656,0.0,0.28510375939849636,0.4189814814814815,0.1125,0.1125,0.28510375939849636,0.03316588910547978,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,3185.48784236925,4046.6992731829573,0.3397486105071508,0.3593984962406015,0.17338345864661656,0.0,0.28510375939849636,0.4189814814814815,0.1125,0.1125,0.28510375939849636,0.028130578875098913,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,4541.13128081005,4546.644110275689,0.3596506097032705,0.3587468671679198,0.10899749373433584,0.0,0.193587134502924,0.4189814814814815,0.1125,0.1125,0.193587134502924,0.02376296554142558,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,3425.193921523828,4223.692431077694,0.36934156125052003,0.3587468671679198,0.10899749373433584,0.0,0.193587134502924,0.4189814814814815,0.1125,0.1125,0.193587134502924,0.02472148900772737,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,4378.5456986499175,4514.8446115288225,0.3863039838278824,0.36395989974937343,0.05736842105263158,0.0,0.10662144249512671,0.4189814814814815,0.1125,0.1125,0.10662144249512671,0.042124288499025324,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,3765.6155622799133,4277.996691729323,0.38325609886154444,0.36395989974937343,0.05736842105263158,0.0,0.10662144249512671,0.4189814814814815,0.1125,0.1125,0.10662144249512671,0.041247421066024255,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,4179.2129629629635,4566.824561403509,0.4189814814814815,0.35543859649122805,0.0,0.0,0.0,0.4189814814814815,0.1125,0.1125,0.0,0.06357351712614868,1.0,1.0,1.0,0.0,Art,Art,OfficeHome
1,Detector Tree,350.5,4191.299999999999,4566.824561403509,0.4169999999999999,0.35543859649122805,0.0,0.0,0.0,0.4189814814814815,0.1125,0.1125,0.0,0.061651629072681687,1.0,1.0,1.0,0.0,Art,Art,OfficeHome
0,Base Tree,350.5,5113.981481481482,4608.8671679198,0.2657407407407407,0.34854636591478694,0.49621553884711783,0.12250626566416041,0.5,0.4189814814814815,0.1125,0.1125,0.38888888888888884,0.08280562517404624,0.5,0.5,0.5,0.1111111111111111,Art,Art,OfficeHome
1,Detector Tree,350.5,3109.4913546531975,3184.6669924812027,0.2736001122031913,0.34854636591478694,0.49621553884711783,0.12250626566416041,0.5,0.4189814814814815,0.1125,0.1125,0.38888888888888884,0.07501843641241153,0.5,0.5,0.5,0.1111111111111111,Art,Art,OfficeHome
0,Base Tree,350.5,5109.1557747970755,4735.147869674185,0.26653184019720083,0.32784461152882205,0.47521303258145364,0.13448621553884713,0.4974187691450849,0.4189814814814815,0.1125,0.1125,0.3863076580339739,0.061312771331621246,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1111111111111111,Art,Art,OfficeHome
1,Detector Tree,350.5,3129.177598877657,3203.669223057644,0.26922266002510736,0.32784461152882205,0.47521303258145364,0.13448621553884713,0.4974187691450849,0.4189814814814815,0.1125,0.1125,0.3863076580339739,0.05862657504592359,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1111111111111111,Art,Art,OfficeHome
0,Base Tree,350.5,5074.613123534144,4787.2807017543855,0.2721945699124354,0.3192982456140351,0.40596491228070175,0.11862155388471178,0.47894218880534667,0.4189814814814815,0.1125,0.1125,0.3678310776942356,0.04881115922522357,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.1111111111111111,Art,Art,OfficeHome
1,Detector Tree,350.5,3138.6428201232347,3553.3080451127817,0.26393249250397516,0.3192982456140351,0.40596491228070175,0.11862155388471178,0.47894218880534667,0.4189814814814815,0.1125,0.1125,0.3678310776942356,0.056045419627130354,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.1111111111111111,Art,Art,OfficeHome
0,Base Tree,350.5,5020.319237778088,4693.563909774436,0.28109520692162504,0.3346616541353383,0.34536340852130326,0.11571428571428571,0.4499008354218881,0.4189814814814815,0.1125,0.1125,0.33878972431077703,0.0537975072712646,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1111111111111111,Art,Art,OfficeHome
