,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,dsd,rate,Calibrated By Fold,test_set,val_set
0,Base Tree,350.5,982.4295790902923,1201.8872180451128,0.9430443312966734,0.9070676691729324,0.018345864661654138,0.0,0.007321756529817429,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.007321756529817429,0.0394548769071354,kNN,0.0,False,adv,adv
1,Detector Tree,350.5,937.7157449565581,1224.2691729323308,0.949746236053951,0.9070676691729324,0.018345864661654138,0.0,0.007321756529817429,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.007321756529817429,0.04411476258044844,kNN,0.0,False,adv,adv
0,Base Tree,350.5,1876.450720104743,1900.5588972431078,0.7964834885074192,0.7925313283208021,0.13416040100250626,0.11894736842105263,0.16159632788692713,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.06235586420225718,0.025958180839063028,kNN,0.1,False,adv,adv
1,Detector Tree,350.5,1327.5157308889327,1338.6556390977444,0.8021438337357091,0.7925313283208021,0.13416040100250626,0.11894736842105263,0.16159632788692713,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.06235586420225718,0.026095928773112904,kNN,0.1,False,adv,adv
0,Base Tree,350.5,3116.8809281350013,2583.9423558897242,0.5931342740762293,0.680501253132832,0.2649874686716792,0.25228070175438594,0.37564813255133755,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.1756481325513376,0.08736697905660283,kNN,0.2,False,adv,adv
1,Detector Tree,350.5,1868.3526926319564,1368.3147869674185,0.5973494835644939,0.680501253132832,0.2649874686716792,0.25228070175438594,0.37564813255133755,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.1756481325513376,0.08315176956833818,kNN,0.2,False,adv,adv
0,Base Tree,350.5,3891.043606342741,3076.9874686716794,0.4662223596159441,0.5996741854636591,0.3554887218045113,0.3427819548872181,0.5092396214569008,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.20923962145690084,0.133451825847715,kNN,0.30000000000000004,False,adv,adv
1,Detector Tree,350.5,2205.893481356849,1419.713784461153,0.4695356480226122,0.5996741854636591,0.3554887218045113,0.3427819548872181,0.5092396214569008,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.20923962145690084,0.13013853744104692,kNN,0.30000000000000004,False,adv,adv
0,Base Tree,350.5,4781.023312481815,3585.0150375939847,0.3203240471341286,0.516390977443609,0.453609022556391,0.4409022556390978,0.6628167924903908,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.26281679249039086,0.1960669303094804,kNN,0.4,False,adv,adv
1,Detector Tree,350.5,2593.9313710866877,1448.9142857142858,0.3226004843959982,0.516390977443609,0.453609022556391,0.4409022556390978,0.6628167924903908,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.26281679249039086,0.19379049304761078,kNN,0.4,False,adv,adv
0,Base Tree,350.5,5616.9114416642415,4102.215538847117,0.1832932062845505,0.43160401002506266,0.5409022556390978,0.5307017543859649,0.8070597828583679,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.3070597828583679,0.24831080374051212,kNN,0.5,False,adv,adv
1,Detector Tree,350.5,2958.3849237472305,1524.8355889724312,0.1845958105953002,0.43160401002506266,0.5409022556390978,0.5307017543859649,0.8070597828583679,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.3070597828583679,0.24700819942976243,kNN,0.5,False,adv,adv
0,Base Tree,350.5,5618.361669188245,4351.872180451128,0.18305546406750076,0.3906766917293233,0.5647368421052632,0.5590977443609023,0.8073100378236835,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.20731003782368332,0.20762122766182256,kNN,0.6000000000000001,False,adv,adv
1,Detector Tree,350.5,2959.0172339270703,1630.354887218045,0.18435637882279415,0.3906766917293233,0.5647368421052632,0.5590977443609023,0.8073100378236835,0.9499999999999998,0.0,0.0,0.6740000000000002,0.9806666666666666,0.20731003782368332,0.20632031290652916,kNN,0.6000000000000001,False,adv,adv
