,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,dsd,rate,Calibrated By Fold,test_set,val_set
0,Base Tree,350.5,907.7243582070624,635.0,0.9552910888185144,1.0,0.2912280701754386,0.0,0.129017522720877,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.129017522720877,0.04470891118148562,kNN,0.0,False,OoD Test,OoD Test
1,Detector Tree,350.5,1225.3160744504314,990.2982456140351,0.9405599872185847,1.0,0.2912280701754386,0.0,0.129017522720877,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.129017522720877,0.05944001278141523,kNN,0.0,False,OoD Test,OoD Test
0,Base Tree,350.5,948.1679312937061,718.015037593985,0.9486609948698843,0.986390977443609,0.3867669172932331,0.1268922305764411,0.2565193294253028,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.15651932942530278,0.037729982573724764,kNN,0.1,False,OoD Test,OoD Test
1,Detector Tree,350.5,1356.2137205001604,1106.8556390977444,0.9263740078517363,0.986390977443609,0.3867669172932331,0.1268922305764411,0.2565193294253028,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.15651932942530278,0.06001696959187275,kNN,0.1,False,OoD Test,OoD Test
0,Base Tree,350.5,972.3884377522616,753.1779448621554,0.9446904200406129,0.9806265664160401,0.4380701754385965,0.21408521303258146,0.3328765376805218,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.13287653768052177,0.03593614637542721,kNN,0.2,False,OoD Test,OoD Test
1,Detector Tree,350.5,1434.6046004247678,1169.4456140350876,0.9178784279943484,0.9806265664160401,0.4380701754385965,0.21408521303258146,0.3328765376805218,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.13287653768052177,0.06274813842169176,kNN,0.2,False,OoD Test,OoD Test
0,Base Tree,350.5,999.557983123333,789.5639097744361,0.9402363962092897,0.9746616541353383,0.4959398496240601,0.30521303258145366,0.41853084212904423,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.11853084212904422,0.03442525792604864,kNN,0.30000000000000004,False,OoD Test,OoD Test
1,Detector Tree,350.5,1522.5401922107724,1240.0466165413534,0.9083484438553366,0.9746616541353383,0.4959398496240601,0.30521303258145366,0.41853084212904423,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.11853084212904422,0.0663132102800016,kNN,0.30000000000000004,False,OoD Test,OoD Test
0,Base Tree,350.5,1032.5609638223127,845.671679197995,0.9348260715045389,0.9654636591478696,0.5763157894736842,0.4178696741854636,0.5225755479896367,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.12257554798963667,0.030980329051410783,kNN,0.4,False,OoD Test,OoD Test
1,Detector Tree,350.5,1629.355989046185,1338.1052631578948,0.8967723251420562,0.9654636591478696,0.5763157894736842,0.4178696741854636,0.5225755479896367,0.9620000000000001,0.91,0.91,0.9458,0.8130000000000001,0.12257554798963667,0.06869133400581348,kNN,0.4,False,OoD Test,OoD Test
