,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,tpr,tnr,ba,rate,test_set,val_set,Dataset
0,Base Tree,350.5,3056.326530612245,1308.4461152882207,0.6030612244897959,0.8895989974937343,0.4928571428571429,0.0,0.5,0.9,0.30612244897959184,0.30612244897959184,0.5,0.2865377730039384,0.5,0.5,0.5,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1940.0584108264134,1640.0758145363409,0.6102356460182572,0.8895989974937343,0.4928571428571429,0.0,0.5,0.9,0.30612244897959184,0.30612244897959184,0.5,0.27936335147547714,0.5,0.5,0.5,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,3041.256354406424,1554.1278195488721,0.6055317451792747,0.8493233082706767,0.4655388471177945,0.0,0.4958400167084378,0.9,0.30612244897959184,0.30612244897959184,0.4958400167084378,0.24379156309140196,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1921.3083444794545,1787.4322055137843,0.6000351085707762,0.8493233082706767,0.4655388471177945,0.0,0.4958400167084378,0.9,0.30612244897959184,0.30612244897959184,0.4958400167084378,0.24928819969990046,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,2973.888222938298,1465.609022556391,0.616575701157656,0.8638345864661654,0.39761904761904765,0.0,0.4772436647173489,0.9,0.30612244897959184,0.30612244897959184,0.4772436647173489,0.24725888530850934,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1736.2429757374866,1649.330701754386,0.6190782156390614,0.8638345864661654,0.39761904761904765,0.0,0.4772436647173489,0.9,0.30612244897959184,0.30612244897959184,0.4772436647173489,0.244756370827104,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,2860.734740320188,1522.328320802005,0.6351254524065265,0.8545363408521303,0.3447368421052632,0.0,0.4460086883876358,0.9,0.30612244897959184,0.30612244897959184,0.4460086883876358,0.21941088844560377,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1713.3842012548266,1724.7809523809524,0.6304797593679555,0.8545363408521303,0.3447368421052632,0.0,0.4460086883876358,0.9,0.30612244897959184,0.30612244897959184,0.4460086883876358,0.22405658148417482,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,2717.9923233253203,1233.8395989974938,0.6585258486351935,0.9018295739348371,0.2903258145363409,0.0,0.4066059593428014,0.9,0.30612244897959184,0.30612244897959184,0.4066059593428014,0.24330372529964364,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1571.7805105558703,1385.2835338345865,0.661605340739016,0.9018295739348371,0.2903258145363409,0.0,0.4066059593428014,0.9,0.30612244897959184,0.30612244897959184,0.4066059593428014,0.24022423319582104,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,2420.084846043681,1191.796992481203,0.7073631399928393,0.9087218045112782,0.1805764411027569,0.0,0.32437134502923987,0.9,0.30612244897959184,0.30612244897959184,0.32437134502923987,0.201358664518439,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1425.9411027686685,1341.0791979949875,0.7120407103454639,0.9087218045112782,0.1805764411027569,0.0,0.32437134502923987,0.9,0.30612244897959184,0.30612244897959184,0.32437134502923987,0.1966810941658142,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,2209.875635517365,1313.6441102756892,0.7418236663086286,0.8887468671679198,0.14578947368421052,0.0,0.2663450292397662,0.9,0.30612244897959184,0.30612244897959184,0.2663450292397662,0.14692320085929114,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1320.4920031867514,1392.6212781954887,0.7485209307327392,0.8887468671679198,0.14578947368421052,0.0,0.2663450292397662,0.9,0.30612244897959184,0.30612244897959184,0.2663450292397662,0.1402259364351807,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,2000.0329273182958,1513.4611528822056,0.7762241102756894,0.8559899749373434,0.11912280701754387,0.0,0.2084198830409357,0.9,0.30612244897959184,0.30612244897959184,0.2084198830409357,0.08019701737336533,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1304.523899663758,1493.327844611529,0.7742002615208778,0.8559899749373434,0.11912280701754387,0.0,0.2084198830409357,0.9,0.30612244897959184,0.30612244897959184,0.2084198830409357,0.08209994676910128,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,1659.4855826641433,1551.9874686716792,0.8320515438255504,0.8496741854636591,0.05987468671679198,0.0,0.1144149262043999,0.9,0.30612244897959184,0.30612244897959184,0.1144149262043999,0.03258003239390994,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1319.1520914169835,1534.1945614035087,0.8252308007330962,0.8496741854636591,0.05987468671679198,0.0,0.1144149262043999,0.9,0.30612244897959184,0.30612244897959184,0.1144149262043999,0.034780412113122786,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,1245.0,1537.7694235588972,0.9,0.8520050125313283,0.0,0.0,0.0,0.9,0.30612244897959184,0.30612244897959184,0.0,0.04904761904761908,1.0,1.0,1.0,0.0,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1129.1,1537.7694235588972,0.9190000000000002,0.8520050125313283,0.0,0.0,0.0,0.9,0.30612244897959184,0.30612244897959184,0.0,0.06700501253132837,1.0,1.0,1.0,0.0,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,3056.326530612245,1642.6466165413533,0.6030612244897959,0.8348120300751879,0.5244862155388471,0.09406015037593986,0.5,0.9,0.30612244897959184,0.30612244897959184,0.38888888888888884,0.23175080558539204,0.5,0.5,0.5,0.1111111111111111,EtisLaribDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1940.807038901902,1835.457493734336,0.6037753211293237,0.8348120300751879,0.5244862155388471,0.09406015037593986,0.5,0.9,0.30612244897959184,0.30612244897959184,0.38888888888888884,0.23103670894586423,0.5,0.5,0.5,0.1111111111111111,EtisLaribDB,EtisLaribDB,Polyp
0,Base Tree,350.5,3036.6761345711216,1696.6140350877192,0.60628260088998,0.8259649122807018,0.4488721804511278,0.10328320802005013,0.49457568922305767,0.9,0.30612244897959184,0.30612244897959184,0.3834645781119465,0.2196823113907217,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1111111111111111,EtisLaribDB,EtisLaribDB,Polyp
