,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,dsd,rate,Calibrated By Fold,test_set,val_set
0,Base Tree,350.5,4462.495130013007,4298.210526315789,0.3725417819650808,0.39947368421052626,0.34208020050125315,0.0,0.353983397028369,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.353983397028369,0.03581367837588737,GradNorm,0.0,False,contrast,contrast
1,Detector Tree,350.5,3432.902974832387,3500.746365914787,0.39329332280198237,0.39947368421052626,0.34208020050125315,0.0,0.353983397028369,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.353983397028369,0.029850419833347207,GradNorm,0.0,False,contrast,contrast
0,Base Tree,350.5,4461.083810424985,4330.4686716791975,0.37277314583196963,0.39418546365914786,0.3334586466165414,0.09318295739348371,0.32066700019637445,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.22066700019637442,0.0383029621695954,GradNorm,0.1,False,contrast,contrast
1,Detector Tree,350.5,3457.686091476992,3539.4561403508774,0.39395674771293715,0.39418546365914786,0.3334586466165414,0.09318295739348371,0.32066700019637445,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.22066700019637442,0.03484547893957277,GradNorm,0.1,False,contrast,contrast
0,Base Tree,350.5,4460.999009960167,4185.383458646616,0.37278704754751346,0.4179699248120301,0.33047619047619053,0.1675438596491228,0.3186651531580673,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.11868755773566715,0.04760764746422719,GradNorm,0.2,False,contrast,contrast
1,Detector Tree,350.5,3459.17520834954,3477.569423558897,0.3939966102226747,0.4179699248120301,0.33047619047619053,0.1675438596491228,0.3186651531580673,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.11868755773566715,0.034863541863514064,GradNorm,0.2,False,contrast,contrast
0,Base Tree,350.5,4461.67329119729,4252.651629072681,0.3726765096397885,0.4069423558897243,0.3400751879699248,0.25842105263157894,0.3345826118704563,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.07258450904511564,0.04239253422590293,GradNorm,0.30000000000000004,False,contrast,contrast
1,Detector Tree,350.5,3447.3346651496227,3451.824060150376,0.3936796480168832,0.4069423558897243,0.3400751879699248,0.25842105263157894,0.3345826118704563,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.07258450904511564,0.036637270791000064,GradNorm,0.30000000000000004,False,contrast,contrast
0,Base Tree,350.5,4460.80937581506,4313.345864661655,0.3728181351122851,0.3969924812030075,0.328295739348371,0.3904010025062657,0.3141885438309409,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.0918425652306535,0.04075134010233243,GradNorm,0.4,False,contrast,contrast
1,Detector Tree,350.5,3462.505230250946,3495.3954887218047,0.394085752339669,0.3969924812030075,0.328295739348371,0.3904010025062657,0.3141885438309409,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.0918425652306535,0.037472867399382194,GradNorm,0.4,False,contrast,contrast
0,Base Tree,350.5,4460.393550313616,4336.431077694236,0.3728863032272759,0.3932080200501253,0.32919799498746866,0.5112781954887218,0.30437233527226737,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.1956276647277326,0.03709847566683451,GradNorm,0.5,False,contrast,contrast
1,Detector Tree,350.5,3469.8072276111097,3500.9298245614036,0.3942812211750833,0.3932080200501253,0.32919799498746866,0.5112781954887218,0.30437233527226737,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.1956276647277326,0.03596709964080357,GradNorm,0.5,False,contrast,contrast
0,Base Tree,350.5,4462.34437945236,4389.481203007519,0.3725664951717443,0.3845112781954887,0.35383458646616545,0.6095989974937344,0.35042469526882686,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.24957530473117326,0.03729605827067165,GradNorm,0.6000000000000001,False,contrast,contrast
1,Detector Tree,350.5,3435.5501914943457,3531.597994987469,0.3933641867495408,0.3845112781954887,0.35383458646616545,0.6095989974937344,0.35042469526882686,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.24957530473117326,0.031499321749035206,GradNorm,0.6000000000000001,False,contrast,contrast
0,Base Tree,350.5,4461.473538234163,4450.175438596491,0.37270925602718635,0.37456140350877193,0.3420551378446115,0.741578947368421,0.32986713208516316,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.37013286791483685,0.02794655725455795,GradNorm,0.7000000000000001,False,contrast,contrast
1,Detector Tree,350.5,3450.8423759667166,3575.1694235588975,0.3937735467290531,0.37456140350877193,0.3420551378446115,0.741578947368421,0.32986713208516316,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.37013286791483685,0.0329350725990008,GradNorm,0.7000000000000001,False,contrast,contrast
0,Base Tree,350.5,4462.1478194712845,4517.443609022556,0.3725987181194614,0.3635338345864662,0.3516541353383459,0.8324561403508771,0.34578459079755225,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.4542154092024478,0.02390429028990324,GradNorm,0.8,False,contrast,contrast
1,Detector Tree,350.5,3439.001832766799,3549.4240601503757,0.39345658452326165,0.3635338345864662,0.3516541353383459,0.8324561403508771,0.34578459079755225,0.375,0.3680555555555556,0.3680555555555556,0.5512578616352202,0.7603591160220994,0.4542154092024478,0.03393623916725715,GradNorm,0.8,False,contrast,contrast
